step,date,type,price,traded_value,allocation
10,2010-07-14,buy,107.08282470703124,9999.999999995478,"[0.6281327605247498, 0.41292402148246765, 0.6908851861953735, 0.590205729007721, 0.20386484265327454]"
11,2010-07-15,sell,111.82635498046876,3928.2340410975244,"[0.4508107900619507, 0.09476998448371887, 0.5059157013893127, 0.8143841028213501, 0.06191360950469971]"
12,2010-07-16,sell,112.5578155517578,3064.2341681923936,"[0.6158918142318726, 0.020169466733932495, 0.29477792978286743, 0.7453231811523438, 0.11669206619262695]"
13,2010-07-19,buy,112.18055725097656,3676.757060138796,"[0.5206313729286194, 0.024789005517959595, 0.5534115433692932, 0.8248715400695801, 0.37191271781921387]"
14,2010-07-20,buy,114.66780090332033,2603.6600148295297,"[0.34671473503112793, 0.020911961793899536, 0.8278992176055908, 0.9236242771148682, 0.6481778621673584]"
15,2010-07-21,sell,113.18928527832033,3872.8200103340973,"[0.692918062210083, 0.04949191212654114, 0.36092129349708557, 0.6802020072937012, 0.5369336605072021]"
16,2010-07-22,sell,112.85047912597656,5929.108487884365,"[0.3950996696949005, 0.3698417842388153, 0.43223801255226135, 0.23972639441490173, 0.6274799108505249]"
17,2010-07-23,buy,113.48963928222656,5358.789851246618,"[0.09237280488014221, 0.6961790919303894, 0.7145746946334839, 0.02562737464904785, 0.8971006274223328]"
18,2010-07-26,sell,114.12105560302734,734.9248947609659,"[0.08070370554924011, 0.6263208985328674, 0.7866991758346558, 0.020280659198760986, 0.8969136476516724]"
19,2010-07-27,sell,113.37411499023438,788.1024911916898,"[0.1179189682006836, 0.5724040269851685, 0.8058011531829834, 0.03771984577178955, 0.823779821395874]"
20,2010-07-28,buy,113.3509521484375,1495.1935036904197,"[0.11096379160881042, 0.7546519637107849, 0.9480446577072144, 0.0703134834766388, 0.7697741985321045]"
21,2010-07-29,sell,117.49388885498048,2496.448860301489,"[0.25684642791748047, 0.617250382900238, 0.8916199803352356, 0.17615029215812683, 0.513149082660675]"
22,2010-07-30,buy,116.13858795166016,7657.088742275597,"[0.7120264172554016, 0.31502479314804077, 0.5957520008087158, 0.644066572189331, 0.23940947651863098]"
23,2010-08-02,sell,117.6170654296875,2755.247245746302,"[0.8915507793426514, 0.17789140343666077, 0.5232967138290405, 0.7677927017211914, 0.10728943347930908]"
24,2010-08-03,sell,117.963623,12513.808511573214,"[0.1488579511642456, 0.5740774273872375, 0.8982417583465576, 0.055433064699172974, 0.7513704299926758]"
25,2010-08-04,sell,120.4431610107422,12275.884313982637,"[0.5805392265319824, 0.03635507822036743, 0.6497492790222168, 0.9039549827575684, 0.1135876476764679]"
26,2010-08-05,sell,120.06584930419922,3135.452993570451,"[0.793237030506134, 0.03424760699272156, 0.36649996042251587, 0.9641838669776917, 0.04971322417259216]"
27,2010-08-06,buy,119.49598693847656,874.4590884480518,"[0.8925589323043823, 0.044465482234954834, 0.45835092663764954, 0.9738916754722595, 0.03400978446006775]"
28,2010-08-09,buy,119.66535186767578,968.0146157481479,"[0.9355177283287048, 0.06886476278305054, 0.5760378241539001, 0.9547939300537109, 0.03821060061454773]"
29,2010-08-10,buy,118.5103530883789,733.1067285037549,"[0.9046050906181335, 0.07910773158073425, 0.6595434546470642, 0.945138692855835, 0.037512779235839844]"
30,2010-08-11,sell,114.92959594726562,877.0037825338096,"[0.9609522819519043, 0.012464851140975952, 0.6376758217811584, 0.9825003147125244, 0.007084637880325317]"
31,2010-08-12,sell,115.06053161621094,1687.3528457682298,"[0.8562855124473572, 0.00257033109664917, 0.3739994764328003, 0.98198002576828, 0.00015431642532348633]"
32,2010-08-13,sell,114.02864837646484,1505.0676627611606,"[0.7917039394378662, 0.09225279092788696, 0.4082000255584717, 0.8393040895462036, 0.021896928548812866]"
33,2010-08-16,buy,113.7822266,5314.193859170107,"[0.23434680700302124, 0.21232223510742188, 0.7539165019989014, 0.9474917650222778, 0.042589545249938965]"
34,2010-08-17,buy,114.42134857177734,1538.430575914348,"[0.07667458057403564, 0.25838804244995117, 0.8966195583343506, 0.9713758230209351, 0.0673794150352478]"
35,2010-08-18,buy,114.89112091064452,925.7642178447221,"[0.0699889063835144, 0.34322163462638855, 0.8951168060302734, 0.9859343767166138, 0.11613297462463379]"
36,2010-08-19,buy,113.23551940917967,3433.1661960509546,"[0.23303845524787903, 0.5149614810943604, 0.8961423635482788, 0.9850025177001953, 0.41520291566848755]"
37,2010-08-20,sell,114.15188598632812,643.5598556626726,"[0.245286226272583, 0.5307921767234802, 0.8822895288467407, 0.9816689491271973, 0.30832284688949585]"
38,2010-08-23,buy,112.99678802490234,1442.51290901412,"[0.35912731289863586, 0.6549752354621887, 0.9138372540473938, 0.9868450164794922, 0.4699501693248749]"
39,2010-08-24,sell,110.84835052490234,1781.1773170504785,"[0.4791511595249176, 0.46012604236602783, 0.7902389764785767, 0.9514136910438538, 0.5843638181686401]"
40,2010-08-25,sell,111.41046905517578,7168.300250491094,"[0.9151628017425537, 0.021141111850738525, 0.2580815553665161, 0.8585582375526428, 0.17889541387557983]"
41,2010-08-26,buy,109.2004395,6444.235938740957,"[0.7721688747406006, 0.41043776273727417, 0.638788104057312, 0.8965707421302795, 0.7731869220733643]"
42,2010-08-27,sell,107.61416625976562,2487.07670061625,"[0.9143686294555664, 0.1588890254497528, 0.39558976888656616, 0.7510616779327393, 0.8082078695297241]"
43,2010-08-30,sell,105.49894714355467,1339.8807781567598,"[0.9399152994155884, 0.19819143414497375, 0.30691710114479065, 0.7982375025749207, 0.6794677972793579]"
44,2010-08-31,buy,105.70735168457033,1102.4433427785502,"[0.946056604385376, 0.23901820182800293, 0.4332227408885956, 0.7808193564414978, 0.7956304550170898]"
45,2010-09-01,buy,107.87662506103516,1775.6602025765487,"[0.8848406076431274, 0.4580376148223877, 0.547454297542572, 0.8435823321342468, 0.6674207448959351]"
46,2010-09-02,sell,107.90750885009766,9212.649023729931,"[0.114940345287323, 0.6584545373916626, 0.7846350073814392, 0.027644634246826172, 0.8664501309394836]"
47,2010-09-03,sell,113.70507049560548,558.7171157481099,"[0.1312669813632965, 0.5662627816200256, 0.7427151799201965, 0.03318345546722412, 0.8279036283493042]"
48,2010-09-07,buy,112.09935760498048,2364.8884651670387,"[0.20444834232330322, 0.583556056022644, 0.76016765832901, 0.24959024786949158, 0.6589682102203369]"
49,2010-09-08,buy,113.89810180664062,1890.6337729847187,"[0.17468568682670593, 0.6629886627197266, 0.8010669946670532, 0.06023797392845154, 0.7701923251152039]"
50,2010-09-09,buy,115.13324737548828,1130.9550414926512,"[0.1215447187423706, 0.8027952909469604, 0.8830697536468506, 0.0645616352558136, 0.7241319417953491]"
51,2010-09-10,sell,116.09819793701172,672.4883067962934,"[0.09157705307006836, 0.7510449886322021, 0.9590317010879517, 0.061304718255996704, 0.6752085089683533]"
52,2010-09-13,sell,119.17069244384766,1367.6365657072172,"[0.14619684219360352, 0.7047772407531738, 0.9719682931900024, 0.14627337455749512, 0.5359390377998352]"
53,2010-09-14,buy,117.75025939941406,1367.8395214026846,"[0.10804444551467896, 0.7352842092514038, 0.9634735584259033, 0.0746285617351532, 0.69377601146698]"
54,2010-09-15,buy,117.77345275878906,874.1583754612525,"[0.09255155920982361, 0.712492048740387, 0.954614520072937, 0.02789822220802307, 0.8018161654472351]"
55,2010-09-16,sell,117.51869201660156,561.0215919764078,"[0.11445218324661255, 0.6925734877586365, 0.8588395118713379, 0.030781567096710205, 0.7948566675186157]"
56,2010-09-17,buy,116.55369567871094,1269.7608023463217,"[0.13612774014472961, 0.7852320671081543, 0.9409813284873962, 0.0744902491569519, 0.6938280463218689]"
57,2010-09-20,buy,117.2639617919922,1561.0974644935086,"[0.2667950987815857, 0.7860037684440613, 0.9198489189147949, 0.15358546376228333, 0.5826898813247681]"
58,2010-09-21,buy,116.87789154052734,2863.33053048051,"[0.047945648431777954, 0.8698440790176392, 0.9674966335296631, 0.012948036193847656, 0.8871778249740601]"
59,2010-09-22,sell,114.30723571777344,550.5350788013544,"[0.08280357718467712, 0.802111029624939, 0.9508066177368164, 0.026232808828353882, 0.8331327438354492]"
60,2010-09-23,buy,111.86776733398438,3777.4909797136374,"[0.36537230014801025, 0.8287538886070251, 0.9509741067886353, 0.27904820442199707, 0.4926769435405731]"
61,2010-09-24,buy,113.69733428955078,1431.7297178043216,"[0.47566482424736023, 0.8364871740341187, 0.9382801055908203, 0.15782108902931213, 0.6440863609313965]"
